Task,gpt_label
Appoint department heads or managers and assign or delegate responsibilities to them.,DMNR
"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",DMNR
"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.",DMNR
"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",DMNR
"Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",INR
Implement corrective action plans to solve organizational or departmental problems.,DMNR
"Prepare budgets for approval, including those for funding or implementation of programs.",DMNR
"Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments.",DMNR
Establish departmental responsibilities and coordinate functions among departments and sites.,DMNR
"Preside over or serve on boards of directors, management committees, or other governing boards.",DMNR
